F6K2Si,Potassium hexafluorosilicate,-2956,,,-2798.6,,,226.0,,
F6Mo,Molybdenum(VI) fluoride,,-1585.5,-1557.7,,-1473.0,-1472.2,,259.7,350.5
F6Na2Si,Sodium hexafluorosilicate,-2909.6,,,-2754.2,,,207.1,,
F6Os,Osmium(VI) fluoride,,,,,,,246.0,,358.1
F6Pt,Platinum(VI) fluoride,,,,,,,235.6,,348.3
F6S,Sulfur hexafluoride,,,-1220.5,,,-1116.5,,,291.5
F6Se,Selenium hexafluoride,,,-1117.0,,,-1017.0,,,313.9
F6Te,Tellurium hexafluoride,,,-1318.0,,,,,,
F6U,Uranium(VI) fluoride,-2197.0,,-2147.4,-2068.5,,-2063.7,227.6,,377.9
F6W,Tungsten(VI) fluoride,,-1747.7,-1721.7,,-1631.4,-1632.1,,251.5,341.1
Fe,Iron,0.0,,416.3,,,370.7,27.3,,180.5
FeI2,Iron(II) iodide,-113.0,,,,,,,,
FeI3,Iron(III) iodide,,,71.0,,,,,,
FeMoO4,Iron(II) molybdate,-1075.0,,,-975.0,,,129.3,,
FeO,Iron(II) oxide,-272.0,,,,,,,,
FeO4S,Iron(II) sulfate,-928.4,,,-820.8,,,107.5,,
FeO4W,Iron(II) tungstate,-1155.0,,,-1054.0,,,131.8,,
FeS,Iron(II) sulfide,-100.0,,,-100.4,,,60.3,,
FeS2,Iron disulfide,-178.2,,,-166.9,,,52.9,,
Fe2O3,Iron(III) oxide,-824.2,,,-742.2,,,87.4,,
Fe2O4Si,Iron(II) orthosilicate,-1479.9,,,-1379.0,,,145.2,,
Fe3O4,"Iron(II,III) oxide",-1118.4,,,-1015.4,,,146.4,,
Fm,Fermium,0.0,,,,,,,,
Fr,Francium,0.0,,,,,,95.4,,
Ga,Gallium,0.0,5.6,272.0,0.0,,233.7,40.8,,169.0
GaH3O3,Gallium(III) hydroxide,-964.4,,,-831.3,,,100.0,,
GaI3,Gallium(III) iodide,-238.9,,,,,,205.0,,
GaN,Gallium nitride,-110.5,,,,,,,,
GaO,Gallium monoxide,,,279.5,,,253.5,,,231.1
GaP,Gallium phosphide,-88.0,,,,,,,,
GaSb,Gallium antimonide,-41.8,,,-38.9,,,76.1,,
Ga2,Digallium,,,438.5,,,,,,
Ga2O,Gallium suboxide,-356.0,,,,,,,,
Ga2O3,Gallium(III) oxide,-1089.1,,,-998.3,,,85.0,,
Gd,Gadolinium,0.0,,397.5,,,359.8,68.1,,194.3
Gd2O3,Gadolinium(III) oxide,-1819.6,,,,,,,,
